npu,ratio
0,0
1,1250 
2,431.4 
3,147.2 
4,100.1 
5,44.69 
6,25.57 
7,13.57 
8,7.672
9,4.419 
10,2.443 
11,1.553 
12,0.9664 
13,0.5941 
14,0.3698 
15,0.2512 
16,0.2052 
17,0.2071 
18,0.2592 
19,0.3741 
20,0.5396
21,0.7158
22,0.8498
23,0.9437
24,1.042
25,1.165 
26,1.303 
27,1.424 
28,1.513 
29,1.574 
30,1.615
31,1.641 
32,1.634 
33,1.657 
34,1.595 
35,1.532 
36,1.445 
37,1.344 
38,1.236 
39,1.125 
40,1.018 
41,0.9185
42,0.8283 
43,0.7468 
44,0.6734 
45,0.6073 
46,0.5476 
47,0.494 
48,0.4465
49,0.4025 
50,0.3642 
51,0.3294 
52,0.2989
53,0.2717
54,0.2476 
55,0.2275 
56,0.2107 
57,0.196 
58,0.1851 
59,0.178 
60,0.1735 
61,0.172 
62,0.1725
63,0.1779
64,0.1816
65,0.2078
66,0.2149
67,0.2352
68,0.2495
69,0.3051
70,0.2812
71,0.3963
72,0.4419
73,0.6956
74,0.6622
75,0.7733
76,0.5667
77,0.1351 
78,0.2514
79,0.1141
80,0






















