npu,ratio
0,0 
1,13.41 
2,7.239 
3,23.56 
4,44.24 
5,29.73 
6,17.32 
7,9.136 
8,4.663 
9,2.624 
10,1.499 
11,0.8709 
12,0.5269 
13,0.3349 
14,0.2128 
15,0.1458 
16,0.1258
17,0.1345 
18,0.1548 
19,0.1768 
20,0.1941 
21,0.2079 
22,0.2188 
23,0.2325 
24,0.2581 
25,0.302 
26,0.3629 
27,0.4275 
28,0.4828 
29,0.5256 
30,0.5584 
31,0.5861 
32,0.6038 
33,0.6368
34,0.6426 
35,0.6535 
36,0.6621 
37,0.6723 
38,0.6883 
39,0.7111 
40,0.745 
41,0.7928 
42,0.859 
43,0.9453 
44,1.054 
45,1.185 
46,1.338 
47,1.51 
48,1.702 
49,1.9 
50,2.111
51,2.32
52,2.529
53,2.729
54,2.916
55,3.102
56,3.285
57,3.455
58,3.65
59,3.889 
60,4.173 
61,4.537 
62,4.988 
63,5.655 
64,6.389 
65,8.183 
66,9.606 
67,12.14 
68,15.15 
69,22.26
70,25.22
71,44.73
72,64.32
73,133.9
74,172.7
75,279.9
76,291.5
77,101 
78,278.9
79,191.9
80,0






















