npu,ratio
0,0 
1,14.7 
2,8.468 
3,30.8 
4,54.35
5,33.01
6,19.03
7,9.844 
8,4.93 
9,2.854 
10,1.625 
11,0.9401 
12,0.5752 
13,0.3584 
14,0.2308 
15,0.1792 
16,0.1793
17,0.2052 
18,0.2345 
19,0.2568 
20,0.2703 
21,0.2816 
22,0.2944 
23,0.3207 
24,0.3717 
25,0.4401 
26,0.509 
27,0.5626 
28,0.5987 
29,0.625 
30,0.6462 
31,0.6651 
32,0.6749
33,0.7035 
34,0.7052 
35,0.7171 
36,0.7325 
37,0.7558 
38,0.7911 
39,0.8386 
40,0.9016 
41,0.9811 
42,1.078 
43,1.188 
44,1.306 
45,1.428
46,1.544 
47,1.649 
48,1.739 
49,1.8 
50,1.841 
51,1.852 
52,1.841
53,1.809
54,1.76 
55,1.709 
56,1.661 
57,1.612 
58,1.586 
59,1.588 
60,1.619 
61,1.689 
62,1.798
63,1.99 
64,2.207
65,2.785
66,3.23 
67,4.038
68,4.99
69,7.263
70,8.149 
71,14.29 
72,20.28 
73,41.52 
74,52.47 
75,82.99 
76,84.02 
77,28.23 
78,75.61 
79,50.59 
80,0 






















