npu,ratio
0,0 
1,15.61 
2,10.27 
3,40.28 
4,66.42 
5,36.5 
6,20.9 
7,10.59 
8,5.234 
9,3.145 
10,1.75 
11,1.029 
12,0.6243 
13,0.3837 
14,0.2702 
15,0.2489 
16,0.2763 
17,0.3189 
18,0.3497 
19,0.3649 
20,0.372 
21,0.3841 
22,0.4126 
23,0.4707 
24,0.5499 
25,0.6212 
26,0.6695 
27,0.696 
28,0.7109 
29,0.7227 
30,0.7328 
31,0.743 
32,0.7461 
33,0.7748 
34,0.7803 
35,0.8049 
36,0.8406 
37,0.8913 
38,0.9602 
39,1.044 
40,1.142 
41,1.246
42,1.35 
43,1.443 
44,1.514 
45,1.555 
46,1.562 
47,1.533 
48,1.474
49,1.384 
50,1.278 
51,1.16 
52,1.042 
53,0.9282
54,0.8245
55,0.7371
56,0.6661
57,0.6088
58,0.5703
59,0.5501
60,0.5449
61,0.5564
62,0.5827
63,0.636 
64,0.6971
65,0.8703
66,0.9989
67,1.235
68,1.508
69,2.161
70,2.378 
71,4.074 
72,5.619 
73,11.14 
74,13.61 
75,20.84 
76,20.54 
77,6.794 
78,18.25 
79,12.54 
80,0 






















